case,n_train,n_val,n_total
D001,129,34,163
D002,46,9,55
D003,89,21,110
D004,15,5,20
D005,31,0,31
D006,79,23,102
D007,13,4,17
D009,49,19,68
D010,51,15,66
D011,12,2,14
D013,26,4,30
D015,12,3,15
D016,24,9,33
D017,122,31,153
D018,5,1,6
D019,26,7,33
D020,34,9,43
D021,13,5,18
D022,100,21,121
D023,13,1,14
D024,10,6,16
D025,25,8,33
D026,36,12,48
D027,5,4,9
D028,17,8,25
D030,19,5,24
D031,27,5,32
D033,117,37,154
D034,11,5,16
D035,73,13,86
D036,37,9,46
D037,96,28,124
D039,83,25,108
D041,23,14,37
D042,10,3,13
D044,40,10,50
D045,38,13,51
D046,4,0,4
D047,28,5,33
D048,12,4,16
D049,8,1,9
D050,3,1,4
D051,7,2,9
D053,12,7,19
D054,26,3,29
D055,29,9,38
D057,17,1,18
D058,6,0,6
D059,23,5,28
D060,37,5,42
D061,4,2,6
D063,113,17,130
D064,13,3,16
D065,12,3,15
D066,13,3,16
D067,3,1,4
D068,5,1,6
D093_L,52,8,60
D094,7,1,8
D095,7,2,9
D098,21,4,25
D099,6,0,6
D101,8,1,9
D123,26,9,35
D128,31,1,32
D129,50,8,58
D130,13,3,16
