filename,case,split
"D001_HE [d=5,x=49282,y=27673,w=2899,h=1652] [d=1,x=0,y=0,w=512,h=512]",D001,val
"D001_HE [d=5,x=49282,y=27673,w=2899,h=1652] [d=1,x=0,y=256,w=512,h=512]",D001,train
"D001_HE [d=5,x=49282,y=27673,w=2899,h=1652] [d=1,x=256,y=0,w=512,h=512]",D001,val
"D001_HE [d=5,x=49282,y=27673,w=2899,h=1652] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D001_HE [d=5,x=49282,y=27673,w=2899,h=1652] [d=1,x=512,y=0,w=512,h=512]",D001,val
"D001_HE [d=5,x=49282,y=27673,w=2899,h=1652] [d=1,x=512,y=256,w=512,h=512]",D001,val
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=0,y=0,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=0,y=256,w=512,h=512]",D016,val
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=0,y=512,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=0,y=768,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=256,y=0,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=256,y=256,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=256,y=512,w=512,h=512]",D016,val
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=256,y=768,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=512,y=0,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=512,y=256,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=512,y=512,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=512,y=768,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=768,y=0,w=512,h=512]",D016,val
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=768,y=256,w=512,h=512]",D016,train
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=768,y=512,w=512,h=512]",D016,val
"D016_HE [d=5,x=39529,y=69545,w=5032,h=4653] [d=1,x=768,y=768,w=512,h=512]",D016,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=0,y=0,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=0,y=1024,w=512,h=512]",D017,train
