case,split,"class0: Background (um2)","class1: Immune cells (um2)","class2: plasma (um2)","class3: Fibro(loose) (um2)","class4: Fibro(dense,regular) (um2)","class5: Fibro(dense,irregular) (um2)","class6: lining (um2)","class7: vessel (um2)","class8: vessel(large) (um2)","class9: adipose (um2)","class10: Stroma (um2)","class11: muscle (um2)","class12: RBC (um2)"
D001,train,26104523.2,1984469.6,100400.0,3613119.2,1008902.1,3505674.7,445127.1,303337.1,953762.0,2951085.0,57538.6,0.0,59058.5
D001,val,6274330.5,631505.0,85656.0,728856.5,433561.5,1641983.0,109985.1,127794.5,82099.7,682073.1,5896.4,0.0,25389.8
D002,train,8775311.9,0.0,0.0,3186143.0,0.0,1039668.2,16924.9,154802.6,46830.8,1426916.6,0.0,0.0,4579.3
D002,val,1212010.5,0.0,0.0,973313.7,0.0,227380.4,9553.5,40731.5,2417.8,400058.0,0.0,0.0,1069.2
D003,train,18359097.7,266.1,0.0,4938230.0,134779.5,4193990.5,20093.6,197637.3,27546.4,470780.5,0.0,0.0,4421.4
D003,val,3200143.4,88.7,0.0,1063031.4,50303.3,2036305.0,1511.5,108821.1,0.0,225708.6,0.0,0.0,2668.1
D004,train,2756194.8,28449.1,4437.2,321059.0,797012.9,330546.9,1854.1,19569.9,0.0,511744.1,0.0,0.0,6689.8
D004,val,1401897.4,0.0,0.0,19337.9,101854.3,41040.1,0.0,789.7,0.0,27541.5,0.0,0.0,58.3
D005,train,5038397.9,23320.6,2488.3,2596503.1,268007.4,1505356.7,6752.9,152505.1,0.0,271754.5,0.0,0.0,8532.9
D006,train,12076139.5,0.0,0.0,8776565.7,292866.2,1122469.0,0.0,500432.5,2035810.5,272551.5,0.0,0.0,84969.5
D006,val,3788285.1,0.0,0.0,2748606.0,1336.5,170025.3,0.0,104051.0,432331.9,63520.0,0.0,0.0,17432.8
D007,train,3081539.1,40509.2,12175.5,853971.9,0.0,7997.1,104592.9,33580.1,0.0,0.0,0.0,0.0,6184.3
D007,val,981822.3,0.0,15502.1,245102.3,0.0,0.0,22257.5,7474.7,0.0,0.0,0.0,0.0,1856.5
D009,train,11430071.6,53858.3,33265.4,2523122.2,7602.2,46445.6,422591.3,123748.5,0.0,906717.3,0.0,0.0,59266.3
D009,val,3891949.8,7392.0,0.0,886533.8,0.0,2166.3,144774.0,49212.2,0.0,1046592.5,0.0,0.0,22952.5
D010,train,10916772.3,54253.2,175828.1,3793213.2,0.0,23235.6,757311.7,210647.5,135591.1,125415.5,0.0,0.0,51428.3
D010,val,3537484.5,51971.4,59165.4,885748.9,0.0,750.9,148975.5,37794.9,0.0,50887.7,0.0,0.0,4778.6
D011,train,2960113.7,0.0,243.0,478507.9,0.0,0.0,264240.9,41605.1,0.0,2741.0,64993.8,0.0,9600.9
D011,val,618063.5,0.0,0.0,11515.7,0.0,0.0,6484.4,834.7,0.0,0.0,0.0,0.0,109.3
D013,train,4863402.1,171099.4,16368.4,2801283.3,15829.0,0.0,163981.9,91439.4,0.0,115303.1,0.0,0.0,42393.6
D013,val,947714.9,21004.8,2450.6,236628.9,0.0,0.0,41122.7,14047.8,0.0,4791.9,0.0,0.0,6253.6
D015,train,3390267.1,12.1,0.0,101372.0,52802.5,71582.7,80878.6,12355.3,0.0,112688.4,0.0,0.0,87.5
D015,val,772455.4,0.0,0.0,44395.9,2334.0,93924.0,22837.1,4024.1,0.0,15526.4,0.0,0.0,14.6
D016,train,3857419.6,58847.1,0.0,3045275.1,0.0,43532.1,1.2,61811.7,513590.9,60173.9,0.0,0.0,3440.9
D016,val,1644586.7,6919.4,0.0,1002955.9,0.0,34303.0,1.2,19905.3,90184.3,65583.0,0.0,0.0,2095.9
D017,train,18109999.3,238.1,452.0,10529731.7,5199107.9,3450544.3,13083.1,450475.5,0.0,1067605.9,0.0,0.0,36232.4
D017,val,4212298.0,0.0,0.0,2768533.1,1187499.2,1135530.2,0.0,152500.2,0.0,405107.5,0.0,0.0,12151.2
D018,train,1241617.5,0.0,0.0,130712.9,11966.5,165263.7,28636.2,13584.9,0.0,0.0,0.0,0.0,737.5
D018,val,266147.3,0.0,0.0,45515.0,0.0,0.0,6841.6,0.0,0.0,0.0,0.0,0.0,0.0
D019,train,4686540.0,0.0,0.0,1811203.9,135208.4,338552.5,52808.6,54244.7,515766.9,681895.7,0.0,0.0,4879.4
D019,val,1138583.5,0.0,0.0,634125.7,1806.7,82548.0,2379.0,20035.3,166215.1,182457.1,0.0,0.0,1376.6
D020,train,7105071.7,81845.8,26934.0,1821925.0,487317.8,504141.8,46615.7,134440.5,174586.4,329158.2,0.0,0.0,117094.0
D020,val,2040421.4,22937.9,11657.9,410829.0,31753.9,84221.1,33220.4,26209.9,50777.1,133017.7,0.0,7.3,21481.1
D021,train,3617494.4,17.0,0.0,380638.7,0.0,28880.4,85603.7,19865.2,0.0,0.0,0.0,0.0,8050.6
D021,val,1514356.2,0.0,0.0,60676.9,0.0,533.4,16802.2,150.7,0.0,0.0,0.0,0.0,0.0
D022,train,12860311.1,0.0,0.0,1004491.7,592813.4,1012284.7,7870.7,180809.6,97615.2,16070829.3,0.0,0.0,23359.5
D022,val,2747634.0,0.0,0.0,288833.7,165613.6,187523.7,0.0,68338.7,8741.9,3208707.9,0.0,0.0,13187.6
D023,train,3094588.2,0.0,0.0,245695.2,0.0,142209.2,1352.3,37157.0,59227.4,560115.5,0.0,0.0,205.3
D023,val,304615.2,0.0,0.0,1552.8,0.0,0.0,0.0,929.5,0.0,11406.4,0.0,0.0,0.0
D024,train,2184317.0,0.0,0.0,266430.3,0.0,533488.9,18881.0,16797.3,19008.6,144995.2,0.0,0.0,1120.2
D024,val,1192185.4,0.0,0.0,307483.8,0.0,266092.6,37356.3,21137.3,0.0,84190.7,0.0,0.0,2577.0
D025,train,6079425.8,206302.6,2194.3,732217.2,0.0,46951.1,386634.7,80248.0,0.0,347893.4,0.0,0.0,80729.2
