class,name,IoU,Dice,precision,recall,support_px
0,"Background",0.9875,0.9937,0.9938,0.9936,312033918
1,"Immune cells",0.8126,0.8966,0.8871,0.9063,3381883
2,"plasma",0.4644,0.6343,0.5373,0.7739,510326
3,"Fibro(loose)",0.8877,0.9405,0.9365,0.9445,81930740
4,"Fibro(dense,regular)",0.9565,0.9777,0.9740,0.9815,25427211
5,"Fibro(dense,irregular)",0.8820,0.9373,0.9329,0.9417,53991599
6,"lining",0.7480,0.8559,0.9070,0.8102,6043465
7,"vessel",0.6518,0.7892,0.8470,0.7388,5797467
8,"vessel(large)",0.9110,0.9534,0.9506,0.9562,8461562
9,"adipose",0.9251,0.9611,0.9630,0.9592,56624675
10,"Stroma",0.9593,0.9792,0.9799,0.9786,4678880
11,"muscle",0.9789,0.9893,0.9896,0.9891,2255753
12,"RBC",0.8646,0.9274,0.9438,0.9115,2996409
