class,name,IoU,Dice,precision,recall,support_px
0,"Background",0.9872,0.9936,0.9936,0.9935,393193121
1,"Immune cells",0.8032,0.8908,0.8800,0.9020,4219152
2,"plasma",0.4414,0.6125,0.5350,0.7162,687835
3,"Fibro(loose)",0.8809,0.9367,0.9326,0.9408,100172153
4,"Fibro(dense,regular)",0.9506,0.9747,0.9714,0.9779,31832512
5,"Fibro(dense,irregular)",0.8739,0.9327,0.9279,0.9376,66889381
6,"lining",0.7427,0.8523,0.9040,0.8063,7354405
7,"vessel",0.6430,0.7827,0.8441,0.7296,7232130
8,"vessel(large)",0.9058,0.9506,0.9473,0.9539,10147484
9,"adipose",0.9222,0.9595,0.9611,0.9580,70578171
10,"Stroma",0.9625,0.9809,0.9817,0.9800,5977466
11,"muscle",0.9757,0.9877,0.9854,0.9900,2931602
12,"RBC",0.8709,0.9310,0.9458,0.9166,3951948
